name,brand,category,price,lidlPlusPrice,packagingQty,packagingUnit,compareUnit,pricePerUnit,cal,protein,carbs,fat,link
"Select & Go Sushi Wrap - thon et fromage frais","Select & Go","Produits frais autre","3.49","","215","g","kg","16.23","134","0","0","0","https://www.lidl.fr/p/select-go-sushi-wrap-thon-et-fromage-frais/p10024893"
"Select & Go Poke bowl au saumon","Select & Go","Produits frais autre","4.99","","297","g","kg","16.8","144","8","22.4","2","https://www.lidl.fr/p/select-go-poke-bowl-au-saumon/p10024894"
"Select & Go 5 Gyozas au poulet","Select & Go","Produits frais autre","2.99","","100","g","kg","29.9","57","2.5","9","1.2","https://www.lidl.fr/p/select-go-5-gyozas-au-poulet/p10024895"
"Select & Go Sushi Wrap - fromage frais aux herbes","Select & Go","Produits frais autre","3.49","","215","g","kg","16.23","59","2.1","10.2","1.9","https://www.lidl.fr/p/select-go-sushi-wrap-fromage-frais-aux-herbes/p10024900"
"Pomme de terre Amandine","","Fruits & légumes","2.69","1.77","","","","","567","16.7","36.7","43.3","https://www.lidl.fr/p/pomme-de-terre-amandine/p10032824"
"Pilons de poulet","","Viandes, volailles & poissons","5.25","","1.5","kg","kg","3.5","138","19","0","6.9","https://www.lidl.fr/p/pilons-de-poulet/p10033248"
"Pain de mie grandes tranches","","Moins Cher","1.2","","750","g","kg","1.6","219","9.8","26","8.5","https://www.lidl.fr/p/pain-de-mie-grandes-tranches/p10033269"
"Pomme Pink lady®","","Fruits & légumes","2.99","1.97","","","","","52","0.3","14.3","0","https://www.lidl.fr/p/pomme-pink-lady/p10033546"
"Sauté de porc","","Viandes, volailles & poissons","6.95","","1","kg","","","285","26.9","0","18.9","https://www.lidl.fr/p/saute-de-porc/p10033551"
"4 crépinettes de porc","","Viandes, volailles & poissons","2.99","","500","g","kg","5.98","372","11.6","2.3","34.9","https://www.lidl.fr/p/4-crepinettes-de-porc/p10033558"
"Mini escalopes de poulet panées","","Viandes, volailles & poissons","5.29","4.23","","","","","228","7","47.4","0","https://www.lidl.fr/p/mini-escalopes-de-poulet-panees/p10033560"
"Pain pita","","1001 delights","1.49","","320","g","kg","4.66","231","10.3","43.6","2.6","https://www.lidl.fr/p/pain-pita/p10033567"
"4 nems au poulet","","Moins Cher","1.23","","","","kg","5.34","148","6.9","22.9","4.2","https://www.lidl.fr/p/4-nems-au-poulet/p10033575"
"La laitière crème aux œufs","","Moins Cher","0.88","","","","kg","3.3","55","10.7","2.4","0","https://www.lidl.fr/p/la-laitiere-creme-aux-oeufs/p10033581"
"Boisson à l'orange","","Moins Cher","1.35","","","","L","1.01","53","2","8.7","1.2","https://www.lidl.fr/p/boisson-a-l-orange/p10033591"
"Nestlé yaourt mix","","Offres Flash","1.25","","","","kg","4.07","400","3","75","15","https://www.lidl.fr/p/nestle-yaourt-mix/p10033611"
"Yoplait perle de lait","","Offres Flash","1.59","","1","pièce","kg","2.12","214","14.3","3.6","14.3","https://www.lidl.fr/p/yoplait-perle-de-lait/p10033613"
"Nestlé lait concentré","","Offres Flash","1.69","","397","g","kg","4.26","321","7.9","54.4","8.7","https://www.lidl.fr/p/nestle-lait-concentre/p10033623"
"Gourmet revelation thon","","Offres Flash","1.09","","","","L","8.38","187","16","9.4","9.3","https://www.lidl.fr/p/gourmet-revelation-thon/p10033639"
"Pain d’épice","","Favorina","2.99","2.39","","","","","408","10.4","44.8","20.8","https://www.lidl.fr/p/pain-d-epice/p10033644"
"Œuf massepain","","Favorina","1.99","1.49","","","","","","","","","https://www.lidl.fr/p/oeuf-massepain/p10033645"
"Moulages animaux en chocolat au lait","","Favorina","2.49","1.99","","","","","535","7.7","59.4","29.7","https://www.lidl.fr/p/moulages-animaux-en-chocolat-au-lait/p10033646"
"Œufs chocolat au lait","","Favorina","9.99","","1","kg","","","112","4.1","17.6","2.8","https://www.lidl.fr/p/oeufs-chocolat-au-lait/p10033652"
"Friture chocolat au lait","","Favorina","2.29","","250","g","kg","9.16","535","7.7","59.4","29.7","https://www.lidl.fr/p/friture-chocolat-au-lait/p10033665"
"Pains au chocolat","","Moins Cher","2.95","2.36","","","","","254","7.4","37.1","8.7","https://www.lidl.fr/p/pains-au-chocolat/p10033734"
"Pain Dürüm","","1001 delights","3.99","","1.2","kg","kg","3.33","339","13.7","71.1","2.5","https://www.lidl.fr/p/pain-durum/p10033735"
"Pomme Pink lady®","","Fruits & légumes","2.99","1.97","","","","","52","0.3","14.3","0","https://www.lidl.fr/p/pomme-pink-lady/p10033737"
"Pomme golden sachet","","Fruits & légumes","2.72","1.79","","","","","57","0.3","13.6","0.2","https://www.lidl.fr/p/pomme-golden-sachet/p10033745"
"Pomme de terre Gwenne","","Fruits & légumes","2.49","1.64","","","","","266","12.5","47.1","3.1","https://www.lidl.fr/p/pomme-de-terre-gwenne/p10033747"
"Oignon jaune Bio","","Fruits & légumes","1.49","0.98","","","","","40","1.1","9.3","0.1","https://www.lidl.fr/p/oignon-jaune-bio/p10033749"
"Filets de poulet marinés thym et citron","","Viandes, volailles & poissons","8.99","","1","kg","","","98","17.9","0.9","2.2","https://www.lidl.fr/p/filets-de-poulet-marines-thym-et-citron/p10033752"
"Demi gigot d'agneau","","Viandes, volailles & poissons","15.79","","","","","","125","21.4","0","4.5","https://www.lidl.fr/p/demi-gigot-d-agneau/p10033754"
"8 tomates farcies","","Viandes, volailles & poissons","6.49","","1.2","kg","kg","5.41","422","11.3","62.4","15","https://www.lidl.fr/p/8-tomates-farcies/p10033756"
"Anneaux de calmars à la romaine","","Viandes, volailles & poissons","5.49","3.84","","","","","71","15.2","0","0.5","https://www.lidl.fr/p/anneaux-de-calmars-a-la-romaine/p10033757"
"Pavé de thon mariné","","Viandes, volailles & poissons","4.99","3.49","","","","","187","16","9.4","9.3","https://www.lidl.fr/p/pave-de-thon-marine/p10033758"
"Salade de concombres","","Moins Cher","0.8","","","","kg","3.29","17","1.2","3.3","0.3","https://www.lidl.fr/p/salade-de-concombres/p10033762"
"Boisson au café","","Moins Cher","1.25","0.83","","","","","481","2.5","74.6","19.2","https://www.lidl.fr/p/boisson-au-cafe/p10033766"
"Spécialité aux fruits lait de coco","","Moins Cher","1.89","0.95","","","","","106","7.3","12.3","3","https://www.lidl.fr/p/specialite-aux-fruits-lait-de-coco/p10033767"
"Fromage de chèvre frais","","Moins Cher","1.89","1.7","","","","","386","25","0","32.1","https://www.lidl.fr/p/fromage-de-chevre-frais/p10033774"
"Coffret infusions ou thés","","Offres Flash","8.29","","","","kg","101.1","100","0","80","0","https://www.lidl.fr/p/coffret-infusions-ou-thes/p10033783"
"Orangettes","","Favorina","3.99","","200","g","kg","19.95","351","0.8","73","5.6","https://www.lidl.fr/p/orangettes/p10033786"
"BORDEAUX","","Foire aux vins","2.49","","","","L","3.32","200","0","40","0","https://www.lidl.fr/p/bordeaux/p10033798"
"BORDEAUX l Blaye Côtes de Bordeaux","","Foire aux vins","3.99","","75","cl","L","5.32","200","0","40","0","https://www.lidl.fr/p/bordeaux-l-blaye-cotes-de-bordeaux/p10033807"
"VIN DE FRANCE l Vin Orange","","Foire aux vins","4.99","","75","cl","L","6.65","83","0.1","2.5","0","https://www.lidl.fr/p/vin-de-france-l-vin-orange/p10033820"
"CRÉMANT DE BORDEAUX","","Foire aux vins","4.99","","75","cl","L","6.65","200","0","40","0","https://www.lidl.fr/p/cremant-de-bordeaux/p10033823"
"Chrysanthème collection","","Plantes & fleurs","4.99","3.99","","","","","500","2.3","61.4","27.3","https://www.lidl.fr/p/chrysantheme-collection/p10033830"
"Filet de saumon ASC de Norvège","","Deluxe","4.99","3.99","","","","","290","23","9","18","https://www.lidl.fr/p/filet-de-saumon-asc-de-norvege/p10033844"
"Saumon ASC façon gravlax","","Deluxe","12.49","9.99","","","","","232","21.4","10.7","12.5","https://www.lidl.fr/p/saumon-asc-facon-gravlax/p10033845"
"Truite ASC saumonée danoise fumée","","Deluxe","9.29","","300","g","kg","30.97","82","0.1","2.3","0","https://www.lidl.fr/p/truite-asc-saumonee-danoise-fumee/p10033846"
"Gigot d'agneau de 7 heures","","Deluxe","15.99","","600","g","kg","26.65","125","21.4","0","4.5","https://www.lidl.fr/p/gigot-d-agneau-de-7-heures/p10033848"
"Bouchées ris de veau","","Deluxe","3.99","","280","g","kg","14.25","303","11.5","0","28.6","https://www.lidl.fr/p/bouchees-ris-de-veau/p10033849"
"Pain surprise aux céréales","","Deluxe","9.99","","950","g","kg","10.52","368","9","75.7","4.9","https://www.lidl.fr/p/pain-surprise-aux-cereales/p10033858"
"Saumon en croûte","","Deluxe","7.99","","700","g","kg","11.41","902","0","0","100","https://www.lidl.fr/p/saumon-en-croute/p10033862"
"Saumon sauvage du Pacifique en croûte","","Deluxe","6.49","5.19","","","","","902","0","0","100","https://www.lidl.fr/p/saumon-sauvage-du-pacifique-en-croute/p10033863"
"Pommes duchesse à la patate douce","","Deluxe","3.69","2.95","","","","","136","2.9","14.3","7.9","https://www.lidl.fr/p/pommes-duchesse-a-la-patate-douce/p10033867"
"Filet de saumon entier avec peau","","Viandes, volailles & poissons","16.99","","","","","","290","23","9","18","https://www.lidl.fr/p/filet-de-saumon-entier-avec-peau/p10033995"
"Pain au seigle","","Pains & viennoiseries","1.19","","","","kg","3.75","267","10","53.3","0","https://www.lidl.fr/p/pain-au-seigle/p5605647"
"Pain au maïs","","Pains & viennoiseries","1.39","","","","kg","4.63","69","15.3","0","0.4","https://www.lidl.fr/p/pain-au-mais/p5608775"
"Pain épeautre courge","","Pains & viennoiseries","1.39","","","","kg","4.43","127","5.5","26.4","0.9","https://www.lidl.fr/p/pain-epeautre-courge/p5610778"
